"Cooperativa","DEPARTAMENTO","PROVINCIA","DISTRITO","GPS_longitude","GPS_latitude","cos_kgha_1","cos_kgha_2","month_floracion","date_start","date_end","date_harvested"
"pangoa","Junín","Satipo","Pangoa",-74.3233234,-11.3406325,NA,2.35507246376812,"septiembre",2022-06-22,2022-06-27,2022-04-13
"pangoa","Junín","Satipo","Pangoa",-74.3072007,-11.3231288,NA,4.16666666666667,"septiembre",2022-06-22,2022-06-27,2022-04-15
"pangoa","Junín","Satipo","Pangoa",-74.3062388,-11.3265125,NA,55,"septiembre",2022-06-22,2022-06-27,2022-04-14
"chirinos","CJAMARCA","SAN IGNACIO","CHIRINOS",-78.8873017,-5.2816411,NA,15,"noviembre",2022-07-25,2022-07-25,2018-07-25
"chirinos","Cajamarca","San Ignacio","Chirinos",-78.8751317,-5.3249333,NA,25,"septiembre",2022-07-27,2022-07-27,2022-07-27
"chirinos","Cajamarca","San Ignacio","Chirinos",-78.8767083,-5.3229367,NA,30,"septiembre",2022-07-27,2022-07-27,NA
"chirinos","Cajamarca","San Ignacio","Chirinos",-78.881745,-5.317365,NA,1.44927536231884,"septiembre",2022-07-27,2022-07-27,NA
"chirinos","Cajamarca","San Ignacio","Chirinos",-78.8852383,-5.318735,NA,35,"noviembre",2022-07-27,2022-07-28,NA
"chirinos","Cajamarca","San Ignacio","Chirinos",-78.88334,-5.3207417,NA,30,"septiembre",2022-07-30,2022-07-30,2015-07-30
"chirinos","Cajamarca","San Ignacio","Chirinos",-78.8845433,-5.319525,NA,25,"septiembre",2022-07-30,2022-07-30,2017-07-30
"chirinos","Cajamarca","San Ignacio","Chirinos",-78.8969033,-5.307555,NA,1.6304347826087,"septiembre",2022-07-30,2022-07-30,2018-07-30
"chirinos","Cajamarca","San Ignacio","Chirinos",-78.8823087,-5.2920804,NA,50,"septiembre",2022-07-25,2022-08-01,2022-04-04
