"Cooperativa","DEPARTAMENTO","PROVINCIA","DISTRITO","GPS_longitude","GPS_latitude","cos_kgha_1","cos_kgha_2","month_floracion","date_start","date_end","date_harvested"
"pangoa","Junín","Satipo","Pangoa",-74.3618009,-11.3525291,21.67,2.35507246376812,"septiembre",2022-03-29,2022-04-06,2022-04-30
"pangoa","Junín","Satipo","Pangoa",-74.3862983,-11.3503691,22,1.99275362318841,"octubre",2022-03-25,2022-04-06,2022-04-30
"pangoa","Junín","Satipo","Pangoa",-74.3906328,-11.3572253,14.44,1.17753623188406,"octubre",2022-03-25,2022-04-06,2022-04-30
"pangoa","Junín","Satipo","Pangoa",-74.3891993,-11.3557896,26,1.17753623188406,"octubre",2022-03-25,2022-04-06,2022-05-04
"pangoa","Junín","Satipo","Pangoa",-74.3625301,-11.3540604,25,1.35869565217391,"octubre",2022-03-25,2022-04-06,2022-05-12
"pangoa","Junín","Satipo","Pangoa",-74.3895779,-11.3472963,10.29,18,"septiembre",2022-03-25,2022-04-06,2022-04-30
"pangoa","Junín","Satipo","Pangoa",-74.3848246,-11.3737854,21,1.90217391304348,"octubre",2022-03-25,2022-04-06,2022-04-30
"pangoa","Junin","Satipo","Pangoa",-74.3013858,-11.3823963,2.27,25,"octubre",2022-04-05,2022-04-06,2022-05-09
"pangoa","Junin","Satipo","Pangoa",-74.3011916,-11.3854649,6,30,"octubre",2022-04-05,2022-04-06,2022-04-11
"pangoa","Junin","Satipo","Pangoa",-74.3055463,-11.3850661,11,22,"octubre",2022-04-05,2022-04-05,2022-04-12
"norandino","Piura","Huamcabamba","Lalaquiz",-79.6968325,-5.1661777,18,9,"octubre",2022-04-06,2022-04-06,NA
"norandino","Piura","Huamcabamba","Lalaquiz",-79.6963863,-5.1671133,7.5,15,"octubre",2022-04-06,2022-04-06,NA
"norandino","Piura","Huamcabamba","Lalaquiz",-79.6969861,-5.1688499,8,8,"octubre",2022-04-06,2022-04-06,NA
"norandino","Piura","Huamcabamba","Lalaquiz",-79.6978706,-5.1694959,20,40,"octubre",2022-04-06,2022-04-06,NA
"norandino","Piura","Huamcabamba","Lalaquiz",-79.6968684,-5.1685594,7.5,15,"octubre",2022-04-06,2022-04-07,NA
"norandino","Piura","Huamcabamba","Lalaquiz",-79.6889617,-5.1717453,1.26811594202899,1.26811594202899,"octubre",2022-04-07,2022-04-07,NA
"norandino","Piura","Huamcabamba","Lalaquiz",-79.6889712,-5.1705015,15,30,"octubre",2022-04-07,2022-04-07,NA
"pangoa","Junin","Satipo","Pangoa",-74.491103,-11.4263181,8,24,"octubre",2022-04-07,2022-04-07,2016-05-18
"pangoa","Junin","Satipo","Pangoa",-74.491052,-11.4263307,17.5,2.53623188405797,"octubre",2022-04-07,2022-04-07,2013-05-02
"pangoa","Junin","Satipo","Pangoa",-74.4911048,-11.4263224,11.25,45,"octubre",2022-04-07,2022-04-07,2013-05-15
"norandino","Piura","Huancabamba","Lalaquiz",-79.6537542,-5.2162045,10,30,"septiembre",2022-04-07,2022-04-07,2022-04-07
"norandino","Piura","Huancabamba","Lalaquiz",-79.652509,-5.2167166,15,30,"septiembre",2022-04-07,2022-04-07,2022-04-07
"norandino","Piura","Huancabamba","Lalaquiz",-79.6524821,-5.2167043,10,20,"septiembre",2022-04-07,2022-04-07,2022-04-07
"norandino","Piura","Huancabamba","Lalaquiz",-79.650305,-5.2134074,15,15,"septiembre",2022-04-07,2022-04-07,2022-04-07
"norandino","Piura","Huancabamba","Lalaquiz",-79.6512123,-5.2079991,3.33,5,"septiembre",2022-04-07,2022-04-07,2022-04-07
"norandino","Piura","Huancabamba","Lalaquiz",-79.6468029,-5.198722,13.5,54,"septiembre",2022-04-08,2022-04-08,2022-04-08
"aprocassi","Cajamarca","San Ignacio","Chirinos",-78.9324007,-5.2354355,20,60,"octubre",2022-05-10,2022-05-10,NA
"aprocassi","Cajamarca","San Ignacio","Chirinos",-78.9351031,-5.2324787,24,42,"octubre",2022-05-10,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","Chirinos",-78.9343095,-5.2300465,18,9,"octubre",2022-05-10,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.005153,-5.1151689,15,30,"noviembre",2022-04-30,2022-04-30,2022-04-06
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8436783,-5.1835517,40.8,1.84782608695652,"septiembre",2022-05-02,2022-05-07,NA
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8415718,-5.1829431,2.46376811594203,2.46376811594203,"octubre",2022-05-02,2022-05-07,NA
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.839453,-5.1818978,NA,2.89855072463768,"octubre",2022-05-02,2022-05-07,NA
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8393571,-5.1818064,NA,30,"octubre",2022-05-02,2022-05-07,NA
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8441288,-5.1850922,NA,24,"septiembre",2022-05-02,2022-05-09,NA
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8433907,-5.1837175,NA,26,"septiembre",2022-05-02,2022-05-09,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0646283,-5.1451772,NA,50,"octubre",2022-05-03,2022-05-03,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.055308,-5.1500847,NA,40,"octubre",2022-05-03,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0540726,-5.1529349,NA,50,"octubre",2022-05-03,2022-05-03,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0539612,-5.1530156,NA,20,"octubre",2022-05-03,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0341744,-5.0278396,NA,25,"octubre",2022-05-04,2022-05-04,2012-05-04
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0334276,-5.0268255,NA,32,"octubre",2022-05-04,2022-05-04,2017-05-04
"aprocassi","Cajamarca","San Ignacio","San José de Lourdes",-78.8333891,-5.1744219,NA,25,"octubre",2022-05-02,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0694297,-5.1470327,NA,20,"septiembre",2022-05-03,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0521836,-5.1488452,NA,40,"septiembre",2022-05-03,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0525383,-5.1481288,NA,20,"septiembre",2022-05-03,2022-05-11,NA
"aprocassi","Cajamarca","San Ignacio","San Ignacio",-79.0580346,-5.1457078,NA,25,"octubre",2022-05-03,2022-05-11,NA
