"cell","percentile","prec","prec_date","cos_kgha_1","cos_kgha_2"
30398,"90%",6.92344450950623,5.56800651550293,552,552
30398,"91%",7.10559237003327,5.56800651550293,552,552
30398,"92%",7.3004566192627,5.56800651550293,552,552
30398,"93%",7.50485816001892,5.56800651550293,552,552
30398,"94%",7.70925970077515,5.56800651550293,552,552
30398,"95%",7.81842148303986,5.56800651550293,552,552
30398,"96%",7.88948736190796,5.56800651550293,552,552
30398,"97%",7.96055324077606,5.56800651550293,552,552
30398,"98%",7.99291663169861,5.56800651550293,552,552
30398,"99%",8.01882960796356,5.56800651550293,552,552
30398,"100%",8.04474258422852,5.56800651550293,552,552
30398,"90%",50.0540031433106,15.9449434280396,552,828
30398,"91%",50.5513963317871,15.9449434280396,552,828
30398,"92%",51.1986386108398,15.9449434280396,552,828
30398,"93%",51.8779914093018,15.9449434280396,552,828
30398,"94%",52.5573442077637,15.9449434280396,552,828
30398,"95%",57.1948570251465,15.9449434280396,552,828
30398,"96%",62.3601245117188,15.9449434280396,552,828
30398,"97%",67.525391998291,15.9449434280396,552,828
30398,"98%",68.6511990356445,15.9449434280396,552,828
30398,"99%",69.5245397949219,15.9449434280396,552,828
30398,"100%",70.3978805541992,15.9449434280396,552,828
30398,"90%",25.3310577392578,14.2204990386963,515.016,772.8
30398,"91%",25.4221541976929,14.2204990386963,515.016,772.8
30398,"92%",25.5060855102539,14.2204990386963,515.016,772.8
30398,"93%",25.5900168228149,14.2204990386963,515.016,772.8
30398,"94%",25.6733992767334,14.2204990386963,515.016,772.8
30398,"95%",25.7482744216919,14.2204990386963,515.016,772.8
30398,"96%",25.8231495666504,14.2204990386963,515.016,772.8
30398,"97%",25.9877603149414,14.2204990386963,515.016,772.8
30398,"98%",29.023910369873,14.2204990386963,515.016,772.8
30398,"99%",32.0600604248047,14.2204990386963,515.016,772.8
30398,"100%",35.0962104797363,14.2204990386963,515.016,772.8
30651,"90%",0.816980910301209,0,220.8,552
30651,"91%",0.854832653999329,0,220.8,552
30651,"92%",0.892684397697449,0,220.8,552
30651,"93%",1.01464891433716,0,220.8,552
30651,"94%",1.14650905132294,0,220.8,552
30651,"95%",1.24610924720764,0,220.8,552
30651,"96%",1.25538160800934,0,220.8,552
30651,"97%",1.26465396881104,0,220.8,552
30651,"98%",1.3384708070755,0,220.8,552
30651,"99%",1.44993859052658,0,220.8,552
30651,"100%",1.56140637397766,0,220.8,552
30398,"90%",25.2197692871094,11.6250514984131,165.6,165.6
30398,"91%",25.3227111053467,11.6250514984131,165.6,165.6
30398,"92%",25.4246975708008,11.6250514984131,165.6,165.6
30398,"93%",25.5188023757935,11.6250514984131,165.6,165.6
30398,"94%",25.6129071807861,11.6250514984131,165.6,165.6
30398,"95%",25.7028955459595,11.6250514984131,165.6,165.6
30398,"96%",25.7868464660645,11.6250514984131,165.6,165.6
30398,"97%",25.8707973861694,11.6250514984131,165.6,165.6
30398,"98%",28.2878739929199,11.6250514984131,165.6,165.6
30398,"99%",31.6920422363281,11.6250514984131,165.6,165.6
30398,"100%",35.0962104797363,11.6250514984131,165.6,165.6
30398,"90%",25.2754135131836,17.5438976287842,276,386.4
30398,"91%",25.3727909088135,17.5438976287842,276,386.4
30398,"92%",25.4653915405273,17.5438976287842,276,386.4
30398,"93%",25.5544095993042,17.5438976287842,276,386.4
30398,"94%",25.6434276580811,17.5438976287842,276,386.4
30398,"95%",25.7255849838257,17.5438976287842,276,386.4
30398,"96%",25.8049980163574,17.5438976287842,276,386.4
30398,"97%",25.8844110488892,17.5438976287842,276,386.4
30398,"98%",28.6558921813965,17.5438976287842,276,386.4
30398,"99%",31.8760513305664,17.5438976287842,276,386.4
30398,"100%",35.0962104797363,17.5438976287842,276,386.4
30651,"90%",23.0437620162964,11.7821083068848,276,828
30651,"91%",23.1004832077026,11.7821083068848,276,828
30651,"92%",23.1362756347656,11.7821083068848,276,828
30651,"93%",23.1720680618286,11.7821083068848,276,828
30651,"94%",23.3113680648804,11.7821083068848,276,828
30651,"95%",23.5763558387756,11.7821083068848,276,828
30651,"96%",23.8413436126709,11.7821083068848,276,828
30651,"97%",24.604068813324,11.7821083068848,276,828
30651,"98%",27.0733223342895,11.7821083068848,276,828
30651,"99%",29.5425758552551,11.7821083068848,276,828
30651,"100%",32.0118293762207,11.7821083068848,276,828
30398,"90%",25.2197692871094,11.6250514984131,441.6,331.2
30398,"91%",25.3227111053467,11.6250514984131,441.6,331.2
30398,"92%",25.4246975708008,11.6250514984131,441.6,331.2
30398,"93%",25.5188023757935,11.6250514984131,441.6,331.2
30398,"94%",25.6129071807861,11.6250514984131,441.6,331.2
30398,"95%",25.7028955459595,11.6250514984131,441.6,331.2
30398,"96%",25.7868464660645,11.6250514984131,441.6,331.2
30398,"97%",25.8707973861694,11.6250514984131,441.6,331.2
30398,"98%",28.2878739929199,11.6250514984131,441.6,331.2
30398,"99%",31.6920422363281,11.6250514984131,441.6,331.2
30398,"100%",35.0962104797363,11.6250514984131,441.6,331.2
30398,"90%",25.2475914001465,13.750675201416,1226.544,1104
30398,"91%",25.3477510070801,13.750675201416,1226.544,1104
30398,"92%",25.4450445556641,13.750675201416,1226.544,1104
30398,"93%",25.5366059875488,13.750675201416,1226.544,1104
30398,"94%",25.6281674194336,13.750675201416,1226.544,1104
30398,"95%",25.7142402648926,13.750675201416,1226.544,1104
30398,"96%",25.7959222412109,13.750675201416,1226.544,1104
30398,"97%",25.8776042175293,13.750675201416,1226.544,1104
30398,"98%",28.4718830871582,13.750675201416,1226.544,1104
30398,"99%",31.7840467834473,13.750675201416,1226.544,1104
30398,"100%",35.0962104797363,13.750675201416,1226.544,1104
30398,"90%",25.2475914001465,13.750675201416,287.04,717.6
30398,"91%",25.3477510070801,13.750675201416,287.04,717.6
30398,"92%",25.4450445556641,13.750675201416,287.04,717.6
30398,"93%",25.5366059875488,13.750675201416,287.04,717.6
30398,"94%",25.6281674194336,13.750675201416,287.04,717.6
30398,"95%",25.7142402648926,13.750675201416,287.04,717.6
30398,"96%",25.7959222412109,13.750675201416,287.04,717.6
30398,"97%",25.8776042175293,13.750675201416,287.04,717.6
30398,"98%",28.4718830871582,13.750675201416,287.04,717.6
30398,"99%",31.7840467834473,13.750675201416,287.04,717.6
30398,"100%",35.0962104797363,13.750675201416,287.04,717.6
30398,"90%",25.2475914001465,13.750675201416,1104,552
30398,"91%",25.3477510070801,13.750675201416,1104,552
30398,"92%",25.4450445556641,13.750675201416,1104,552
30398,"93%",25.5366059875488,13.750675201416,1104,552
30398,"94%",25.6281674194336,13.750675201416,1104,552
30398,"95%",25.7142402648926,13.750675201416,1104,552
30398,"96%",25.7959222412109,13.750675201416,1104,552
30398,"97%",25.8776042175293,13.750675201416,1104,552
30398,"98%",28.4718830871582,13.750675201416,1104,552
30398,"99%",31.7840467834473,13.750675201416,1104,552
30398,"100%",35.0962104797363,13.750675201416,1104,552
30398,"90%",25.2475914001465,13.750675201416,1330,276
30398,"91%",25.3477510070801,13.750675201416,1330,276
30398,"92%",25.4450445556641,13.750675201416,1330,276
30398,"93%",25.5366059875488,13.750675201416,1330,276
30398,"94%",25.6281674194336,13.750675201416,1330,276
30398,"95%",25.7142402648926,13.750675201416,1330,276
30398,"96%",25.7959222412109,13.750675201416,1330,276
30398,"97%",25.8776042175293,13.750675201416,1330,276
30398,"98%",28.4718830871582,13.750675201416,1330,276
30398,"99%",31.7840467834473,13.750675201416,1330,276
30398,"100%",35.0962104797363,13.750675201416,1330,276
30398,"90%",25.386701965332,12.9255342483521,699.384,1048.8
30398,"91%",25.4679349136353,12.9255342483521,699.384,1048.8
30398,"92%",25.5467794799805,12.9255342483521,699.384,1048.8
30398,"93%",25.6256240463257,12.9255342483521,699.384,1048.8
30398,"94%",25.7006266021728,12.9255342483521,699.384,1048.8
30398,"95%",25.7709638595581,12.9255342483521,699.384,1048.8
30398,"96%",25.8413011169434,12.9255342483521,699.384,1048.8
30398,"97%",26.5397875976563,12.9255342483521,699.384,1048.8
30398,"98%",29.3919285583496,12.9255342483521,699.384,1048.8
30398,"99%",32.244069519043,12.9255342483521,699.384,1048.8
30398,"100%",35.0962104797363,12.9255342483521,699.384,1048.8
30398,"90%",25.3310577392578,14.2204990386963,1104,552
30398,"91%",25.4221541976929,14.2204990386963,1104,552
30398,"92%",25.5060855102539,14.2204990386963,1104,552
30398,"93%",25.5900168228149,14.2204990386963,1104,552
30398,"94%",25.6733992767334,14.2204990386963,1104,552
30398,"95%",25.7482744216919,14.2204990386963,1104,552
30398,"96%",25.8231495666504,14.2204990386963,1104,552
30398,"97%",25.9877603149414,14.2204990386963,1104,552
30398,"98%",29.023910369873,14.2204990386963,1104,552
30398,"99%",32.0600604248047,14.2204990386963,1104,552
30398,"100%",35.0962104797363,14.2204990386963,1104,552
30398,"90%",25.4399578094482,24.1642723083496,956.616,717.6
30398,"91%",25.5137156295776,24.1642723083496,956.616,717.6
30398,"92%",25.587473449707,24.1642723083496,956.616,717.6
30398,"93%",25.6612312698364,24.1642723083496,956.616,717.6
30398,"94%",25.7278539276123,24.1642723083496,956.616,717.6
30398,"95%",25.7936532974243,24.1642723083496,956.616,717.6
30398,"96%",25.8594526672363,24.1642723083496,956.616,717.6
30398,"97%",27.0918148803711,24.1642723083496,956.616,717.6
30398,"98%",29.7599467468262,24.1642723083496,956.616,717.6
30398,"99%",32.4280786132813,24.1642723083496,956.616,717.6
30398,"100%",35.0962104797363,24.1642723083496,956.616,717.6
30398,"90%",25.4653915405273,10.7138195037842,515.016,386.4
30398,"91%",25.5366059875488,10.7138195037842,515.016,386.4
30398,"92%",25.6078204345703,10.7138195037842,515.016,386.4
30398,"93%",25.6779371643066,10.7138195037842,515.016,386.4
30398,"94%",25.741467590332,10.7138195037842,515.016,386.4
30398,"95%",25.8049980163574,10.7138195037842,515.016,386.4
30398,"96%",25.8685284423828,10.7138195037842,515.016,386.4
30398,"97%",27.3678285217285,10.7138195037842,515.016,386.4
30398,"98%",29.9439558410644,10.7138195037842,515.016,386.4
30398,"99%",32.5200831604004,10.7138195037842,515.016,386.4
30398,"100%",35.0962104797363,10.7138195037842,515.016,386.4
30904,"90%",20.4500198364258,11.2748517990112,1104,1104
30904,"91%",20.9198051452637,11.2748517990112,1104,1104
30904,"92%",21.8898673248291,11.2748517990112,1104,1104
30904,"93%",22.967131690979,11.2748517990112,1104,1104
30904,"94%",24.0443960571289,11.2748517990112,1104,1104
30904,"95%",24.4002889633179,11.2748517990112,1104,1104
30904,"96%",24.6599990081787,11.2748517990112,1104,1104
30904,"97%",24.9197090530396,11.2748517990112,1104,1104
30904,"98%",24.9864613342285,11.2748517990112,1104,1104
30904,"99%",25.041153755188,11.2748517990112,1104,1104
30904,"100%",25.0958461761475,11.2748517990112,1104,1104
30650,"90%",19.4898983001709,30.4478225708008,552,1104
30650,"91%",19.7069532394409,30.4478225708008,552,1104
30650,"92%",19.8286422729492,30.4478225708008,552,1104
30650,"93%",19.9531079101562,30.4478225708008,552,1104
30650,"94%",20.0835539245605,30.4478225708008,552,1104
30650,"95%",20.2139999389648,30.4478225708008,552,1104
30650,"96%",22.8063694763184,30.4478225708008,552,1104
30650,"97%",25.7406728363037,30.4478225708008,552,1104
30650,"98%",27.9377393341064,30.4478225708008,552,1104
30650,"99%",29.1927809524536,30.4478225708008,552,1104
30650,"100%",30.4478225708008,30.4478225708008,552,1104
30144,"90%",18.5228134155273,12.8491220474243,2628.624,1656
30144,"91%",18.6325283432007,12.8491220474243,2628.624,1656
30144,"92%",18.8576066589355,12.8491220474243,2628.624,1656
30144,"93%",19.1074057006836,12.8491220474243,2628.624,1656
30144,"94%",19.3572047424316,12.8491220474243,2628.624,1656
30144,"95%",19.7936105728149,12.8491220474243,2628.624,1656
30144,"96%",20.2548973083496,12.8491220474243,2628.624,1656
30144,"97%",20.7161840438843,12.8491220474243,2628.624,1656
30144,"98%",22.9903754425049,12.8491220474243,2628.624,1656
30144,"99%",25.3778733825683,12.8491220474243,2628.624,1656
30144,"100%",27.7653713226318,12.8491220474243,2628.624,1656
30144,"90%",18.5228134155273,12.8491220474243,1656,1656
30144,"91%",18.6325283432007,12.8491220474243,1656,1656
30144,"92%",18.8576066589355,12.8491220474243,1656,1656
30144,"93%",19.1074057006836,12.8491220474243,1656,1656
30144,"94%",19.3572047424316,12.8491220474243,1656,1656
30144,"95%",19.7936105728149,12.8491220474243,1656,1656
30144,"96%",20.2548973083496,12.8491220474243,1656,1656
30144,"97%",20.7161840438843,12.8491220474243,1656,1656
30144,"98%",22.9903754425049,12.8491220474243,1656,1656
30144,"99%",25.3778733825683,12.8491220474243,1656,1656
30144,"100%",27.7653713226318,12.8491220474243,1656,1656
30144,"90%",18.6196207046509,10.4662780761719,441.6,441.6
30144,"91%",18.806177444458,10.4662780761719,441.6,441.6
30144,"92%",19.0339353942871,10.4662780761719,441.6,441.6
30144,"93%",19.2616933441162,10.4662780761719,441.6,441.6
30144,"94%",19.5765344619751,10.4662780761719,441.6,441.6
30144,"95%",19.9971194267273,10.4662780761719,441.6,441.6
30144,"96%",20.4177043914795,10.4662780761719,441.6,441.6
30144,"97%",21.2348622512817,10.4662780761719,441.6,441.6
30144,"98%",23.4116986083984,10.4662780761719,441.6,441.6
30144,"99%",25.5885349655151,10.4662780761719,441.6,441.6
30144,"100%",27.7653713226318,10.4662780761719,441.6,441.6
30144,"90%",18.4582752227783,12.719443321228,717.6,717.6
30144,"91%",18.5744439697266,12.719443321228,717.6,717.6
30144,"92%",18.7400541687012,12.719443321228,717.6,717.6
30144,"93%",19.0045472717285,12.719443321228,717.6,717.6
30144,"94%",19.2690403747559,12.719443321228,717.6,717.6
30144,"95%",19.65793800354,12.719443321228,717.6,717.6
30144,"96%",20.1463592529297,12.719443321228,717.6,717.6
30144,"97%",20.6347805023193,12.719443321228,717.6,717.6
30144,"98%",22.7094933319092,12.719443321228,717.6,717.6
30144,"99%",25.2374323272705,12.719443321228,717.6,717.6
30144,"100%",27.7653713226318,12.719443321228,717.6,717.6
30144,"90%",18.6518898010254,16.0728454589844,717.6,1435.2
30144,"91%",18.8723007202148,16.0728454589844,717.6,1435.2
30144,"92%",19.0927116394043,16.0728454589844,717.6,1435.2
30144,"93%",19.3131225585938,16.0728454589844,717.6,1435.2
30144,"94%",19.65793800354,16.0728454589844,717.6,1435.2
30144,"95%",20.0649557113647,16.0728454589844,717.6,1435.2
30144,"96%",20.4719734191894,16.0728454589844,717.6,1435.2
30144,"97%",21.4455238342285,16.0728454589844,717.6,1435.2
30144,"98%",23.5521396636963,16.0728454589844,717.6,1435.2
30144,"99%",25.6587554931641,16.0728454589844,717.6,1435.2
30144,"100%",27.7653713226318,16.0728454589844,717.6,1435.2
25841,"90%",42.2946044921875,18.4417915344238,552,1656
25841,"91%",42.4220349121094,18.4417915344238,552,1656
25841,"92%",42.7392070007324,18.4417915344238,552,1656
25841,"93%",43.4358624267578,18.4417915344238,552,1656
25841,"94%",44.1325178527832,18.4417915344238,552,1656
25841,"95%",45.6061225891113,18.4417915344238,552,1656
25841,"96%",47.7012867736817,18.4417915344238,552,1656
25841,"97%",49.796450958252,18.4417915344238,552,1656
25841,"98%",50.669280090332,18.4417915344238,552,1656
25841,"99%",51.1928706359863,18.4417915344238,552,1656
25841,"100%",51.7164611816406,18.4417915344238,552,1656
25841,"90%",42.3653991699219,14.1484756469727,1435.2,2870.4
25841,"91%",42.4857501220703,14.1484756469727,1435.2,2870.4
25841,"92%",43.0488316345215,14.1484756469727,1435.2,2870.4
25841,"93%",43.7067839813233,14.1484756469727,1435.2,2870.4
25841,"94%",44.364736328125,14.1484756469727,1435.2,2870.4
25841,"95%",46.1881126403809,14.1484756469727,1435.2,2870.4
25841,"96%",48.1668788146973,14.1484756469727,1435.2,2870.4
25841,"97%",50.1456449890137,14.1484756469727,1435.2,2870.4
25841,"98%",50.727456817627,14.1484756469727,1435.2,2870.4
25841,"99%",51.2219589996338,14.1484756469727,1435.2,2870.4
25841,"100%",51.7164611816406,14.1484756469727,1435.2,2870.4
25841,"90%",36.9040649414062,25.8964138031006,3036,3036
25841,"91%",36.9550433349609,25.8964138031006,3036,3036
25841,"92%",37.0060217285156,25.8964138031006,3036,3036
25841,"93%",37.0570001220703,25.8964138031006,3036,3036
25841,"94%",37.1296548461914,25.8964138031006,3036,3036
25841,"95%",37.2673385620117,25.8964138031006,3036,3036
