,Cooperativa,dpto,PROVINCIA,dstr,lon,lat,cos_kgha_1,cos_kgha_2,month_floracion,date_start,date_end,date_hrvs
57,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4773579,-6.1483269,7,7,noviembre,3/17/2022,3/17/2022,8/3/2020
58,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4792566,-6.1378972,9.33,7,octubre,3/18/2022,3/18/2022,8/2/2016
59,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4800093,-6.1407453,10,5,septiembre,3/18/2022,3/18/2022,8/25/2018
60,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4793864,-6.1438906,9.33,7,octubre,3/18/2022,3/18/2022,7/30/2016
61,norandino,Lambayeque,Ferreñafe,Kañaris,-79.4758522,-6.0802395,26.67,20,septiembre,3/12/2022,3/17/2022,7/16/2018
62,norandino,Lambayeque,Lambayeque,Salas,-79.4738383,-6.0973668,6.67,5,septiembre,3/13/2022,3/17/2022,7/18/2019
63,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5373913,-6.0037384,12,12,septiembre,3/17/2022,3/17/2022,7/20/2018
64,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5236383,-6.0223267,25,25,septiembre,3/18/2022,3/18/2022,7/25/2019
65,norandino,Lambayeque,Ferreñafe,Kañaris,-79.5340105,-6.0170188,29.27,30,septiembre,3/18/2022,3/18/2022,8/1/2018
66,norandino,Piura,Huancabamba,Lalaquiz,-79.647489,-5.1989949,11.5,23,octubre,3/19/2022,3/19/2022,6/1/2022
67,norandino,Piura,Huancabamba,Lalaquiz,-79.6497136,-5.1999799,10,10,septiembre,3/19/2022,3/19/2022,6/1/2022
68,norandino,Piura,Huancabamba,Lalaquiz,-79.6487838,-5.2014065,7.5,15,septiembre,3/19/2022,3/19/2022,6/1/2022
69,norandino,Piura,Huancabamba,Lalaquiz,-79.6473017,-5.2013996,5.5,11,septiembre,3/19/2022,3/19/2022,6/1/2022
70,norandino,Piura,Huancabamba,Lalaquiz,-79.6468229,-5.201452,20,50,septiembre,3/19/2022,3/19/2022,6/1/2022
71,pangoa,Junin,Satipo,Pangoa,-74.53896,-11.4696962,8.75,1.394927536,septiembre,3/18/2022,3/19/2022,4/15/2015
72,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4847854,-6.1471175,10,10,septiembre,3/15/2022,3/19/2022,7/17/2021
73,norandino,LAMBAYEQUE,LAMBAYEQUE,SALAS,-79.4764437,-6.144688,4,3,septiembre,3/18/2022,3/19/2022,8/3/2019
74,norandino,Piura,Huancabamba,Lalaquiz,-79.6494811,-5.1789391,30,60,septiembre,3/21/2022,3/21/2022,7/1/2022
75,norandino,Piura,Huancabamba,Lalaquiz,-79.6455149,-5.1852267,15,30,octubre,3/21/2022,3/21/2022,6/1/2022
76,norandino,Piura,Huancabamba,Lalaquiz,-79.6456496,-5.1858138,20,50,septiembre,3/21/2022,3/21/2022,3/21/2022
