"","cell","date_start","date_end","lon","lat","dpto","dstr","date_hrvs","month_floracion","cos_kgha_1","cos_kgha_2"
"316",57319,2022-04-01,2022-04-01,-74.300671,-11.3675194,"Junín","Pangoa",2014-07-25,"septiembre",920.184,2760
"317",55801,2022-04-04,2022-04-04,-74.3011731,-11.0687935,"Junín","Pangoa",2014-12-20,"septiembre",1458.936,185
"318",57320,2022-04-01,2022-04-04,-74.2981092,-11.3567918,"Junín","Pangoa",2015-11-28,"septiembre",1159.2,105
"319",57320,2022-04-01,2022-04-04,-74.2785237,-11.3507454,"Junín","Pangoa",2017-01-10,"octubre",1159.2,105
"320",58328,2022-03-19,2022-04-04,-74.4885683,-11.5666215,"Junin","Pangoa",2010-02-27,"octubre",232.392,1104
"321",57820,2022-03-24,2022-03-30,-74.5504723,-11.4802234,"Junin","Pangoa",2014-02-13,"octubre",150.696,828
"322",57820,2022-03-25,2022-04-01,-74.5535125,-11.4926692,"Junin","Pangoa",2015-02-11,"septiembre",552,2208
"323",57821,2022-03-30,2022-03-31,-74.5404821,-11.4566872,"Junin","Pangoa",2014-02-13,"agosto",239.016,717.6
"324",59088,2022-03-31,2022-04-04,-74.438662,-11.7030267,"Junin","Pangoa",2013-02-06,"octubre",920.184,2760
"325",58835,2022-03-31,2022-04-04,-74.4265299,-11.6945727,"Junin","Pangoa",2010-02-11,"octubre",552,1656
"326",59088,2022-03-31,2022-04-04,-74.4168092,-11.7024525,"Junin","Pangoa",2010-02-10,"octubre",459.816,1380
"327",58073,2022-04-04,2022-04-04,-74.5615139,-11.5063224,"Junin","Pangoa",2010-02-18,"octubre",104.88,1104
"328",55549,2022-04-04,2022-04-04,-74.2861577,-11.0152578,"Junín","Pangoa",2017-12-22,"septiembre",2163.84,98
"329",57572,2022-03-29,2022-04-05,-74.3297726,-11.432594,"Junin","Pangoa",2014-10-10,"septiembre",607.2,1821.6
"330",57572,2022-04-01,2022-04-05,-74.3402869,-11.4326239,"Junín","Pangoa",2015-11-13,"octubre",487.968,2318.4
"331",56054,2022-04-04,2022-04-04,-74.3002031,-11.1055361,"Junín","Río Tambo",2019-01-26,"septiembre",552,2208
"332",57320,2022-04-05,2022-04-05,-74.2828369,-11.3823247,"Junin","Pangoa",2014-01-17,"octubre",1298.856,200
"333",57320,2022-04-05,2022-04-05,-74.299478,-11.3731098,"Junín","Pangoa",2015-11-03,"septiembre",772.8,1932
"334",57319,2022-04-05,2022-04-05,-74.3025476,-11.370426,"Junín","Pangoa",2016-12-07,"septiembre",1656,120
"335",57319,2022-04-05,2022-04-05,-74.3037551,-11.3920381,"Junín","Pangoa",2017-01-12,"septiembre",1594.728,130
"336",57320,2022-04-05,2022-04-05,-74.2790839,-11.379644,"Junín","Pangoa",2013-01-14,"octubre",1238.136,157
"337",57320,2022-04-05,2022-04-05,-74.2796287,-11.3819924,"Junín","Pangoa",2015-01-28,"octubre",1472.184,80
"338",30651,2022-04-01,2022-04-05,-79.4979596,-6.1409527,"LAMBAYEQUE","SALAS",2008-02-13,"septiembre",276,552
"339",30651,2022-04-01,2022-04-05,-79.4983397,-6.1402329,"LAMBAYEQUE","SALAS",2015-01-17,"octubre",828,828
"340",30651,2022-04-05,2022-04-05,-79.4832545,-6.1444848,"LAMBAYEQUE","SALAS",2013-01-17,"septiembre",1287.816,386.4
"341",30651,2022-04-05,2022-04-05,-79.4846365,-6.1401858,"LAMBAYEQUE","SALAS",2014-02-01,"septiembre",1214.4,1214.4
"342",30651,2022-04-05,2022-04-05,-79.4832959,-6.13556,"LAMBAYEQUE","SALAS",2014-02-13,"octubre",1104,1104
"343",57320,2022-04-01,2022-04-01,-74.2795889,-11.3502771,"Junín","Pangoa",2015-12-19,"octubre",83,83
"344",57320,2022-04-01,2022-04-01,-74.2790705,-11.3518698,"Junin","Pangoa",2014-03-04,"septiembre",1324.8,120
"345",57320,2022-04-01,2022-04-02,-74.2960789,-11.3686806,"Junin","Pangoa",2017-11-16,"septiembre",883.2,80
"346",55802,2022-04-04,2022-04-04,-74.2940606,-11.0693096,"Junin","Rio Tambo",2017-11-08,"octubre",110.4,1104
"347",55801,2022-04-04,2022-04-04,-74.3077496,-11.0984066,"Junín","Rio Tambo",2016-10-07,"octubre",981.456,80
"348",57066,2022-04-05,2022-04-05,-74.3151347,-11.3415487,"Junín","Pangoa",2016-01-22,"octubre",1214.4,110
"349",56811,2022-04-05,2022-04-05,-74.4403885,-11.2994429,"Junín","Pangoa",2015-01-16,"octubre",690,2760
"350",57064,2022-04-05,2022-04-05,-74.4406956,-11.3005709,"Junín","Pangoa",2017-11-25,"octubre",1122.216,61
"351",57064,2022-04-05,2022-04-05,-74.4403191,-11.3020728,"Junín","Pangoa",2017-12-15,"octubre",1340.808,85
"352",57064,2022-04-05,2022-04-05,-74.4385456,-11.3051655,"Junín","Pangoa",2015-01-13,"octubre",828,2484
"353",57066,2022-04-05,2022-04-06,-74.3149798,-11.3251894,"Junín","Pangoa",2016-12-17,"octubre",1081.92,98
"354",57066,2022-04-05,2022-04-06,-74.3159789,-11.3385452,"Junín","Pangoa",2014-02-12,"octubre",644.184,1932
"355",57066,2022-04-05,2022-04-06,-74.3160888,-11.3401018,"Junín","Pangoa",2015-12-13,"octubre",1104,140
"356",57066,2022-04-05,2022-04-06,-74.3139087,-11.3202172,"Junín","Pangoa",2016-12-11,"octubre",1104,180
"357",57066,2022-04-05,2022-04-06,-74.3142484,-11.3227685,"Junín","Pangoa",2016-11-26,"octubre",1182.936,150
"358",57066,2022-04-05,2022-04-06,-74.3339122,-11.3077401,"Junín","Pangoa",2015-01-02,"octubre",966,1932
"359",57066,2022-04-05,2022-04-06,-74.3335136,-11.3093599,"Junín","Pangoa",2013-12-14,"octubre",938.4,2815.2
"360",57066,2022-04-05,2022-04-06,-74.3231608,-11.3266587,"Junín","Pangoa",2016-11-27,"octubre",1196.184,130
"361",55295,2022-04-04,2022-04-06,-74.3219433,-10.9978661,"Junín","Pangoa",2015-12-12,"octubre",1235.376,235
